AssetId,AnciliaryKey
massif_wh_dlc07_anc_armour_armour_of_the_midsummer_sun,wh_dlc07_anc_armour_armour_of_the_midsummer_sun
massif_wh_dlc07_anc_armour_cuirass_of_fortune,wh_dlc07_anc_armour_cuirass_of_fortune
massif_wh_dlc07_anc_armour_gilded_cuirass,wh_dlc07_anc_armour_gilded_cuirass
massif_wh_dlc07_anc_armour_the_grail_shield,wh_dlc07_anc_armour_the_grail_shield
massif_wh_main_anc_armour_armour_of_destiny,wh_main_anc_armour_armour_of_destiny
dragonhelm_helmet,admiralnelson_dragon_helmet_anciliary_key
bane_of_the_undead_axe,admiralnelson_bane_of_the_undead_axe_anciliary_key
thunderstrike_sword,admiralnelson_thunderstrike_sword_anciliary_key
the_unbreakable_wall_shield,admiralnelson_the_unbreakable_wall_anciliary_key
naked_body,wh_main_anc_armour_gamblers_armour
massif_wh_main_anc_armour_armour_of_silvered_steel,wh_main_anc_armour_armour_of_silvered_steel
massif_wh_main_anc_armour_glittering_scales,wh_main_anc_armour_glittering_scales
massif_wh_main_anc_armour_armour_of_fortune,wh_main_anc_armour_armour_of_fortune
