AssetId,AssetPath
NONE,variantmeshes\none.rigid_model_v2
face_massif_lord_1,variantmeshes\base_body\base_head\massif_lord1.rigid_model_v2
face_massif_lord_2,variantmeshes\base_body\base_head\massif_lord2.rigid_model_v2
face_massif_lord_3,variantmeshes\base_body\base_head\massif_lord3.rigid_model_v2
face_massif_lord_4,variantmeshes\base_body\base_head\massif_lord4.rigid_model_v2
face_massif_lord_8,variantmeshes\base_body\base_head\massif_lord5.rigid_model_v2
hair_massif_lord1,variantmeshes\helmets\massif_lord1.rigid_model_v2
hair_massif_lord2,variantmeshes\helmets\massif_lord2.rigid_model_v2
hair_massif_lord3,variantmeshes\helmets\massif_lord3.rigid_model_v2
hair_massif_lord4,variantmeshes\helmets\massif_lord4.rigid_model_v2
hair_massif_lord5,variantmeshes\helmets\massif_lord5.rigid_model_v2
helmet_massif_1,variantmeshes\helmets\massif_admiralnelson_armoursys_wh_main_anc_armour_dragonhelm.rigid_model_v2
helmet_massif_2,variantmeshes\helmets\massif_admiralnelson_armoursys_wh_main_anc_armour_dragonhelm.rigid_model_v2
helmet_massif_3,variantmeshes\helmets\massif_admiralnelson_armoursys_wh_main_anc_armour_dragonhelm.rigid_model_v2
helmet_massif_4,variantmeshes\helmets\massif_admiralnelson_armoursys_wh_main_anc_armour_dragonhelm.rigid_model_v2
helmet_massif_5,variantmeshes\helmets\massif_admiralnelson_armoursys_wh_main_anc_armour_dragonhelm.rigid_model_v2
tabard_massif_lord1,variantmeshes\base_body\base_armour\massif_basic_tabard_lord_1.rigid_model_v2
tabard_massif_lord2,variantmeshes\base_body\base_armour\massif_basic_tabard_lord_2.rigid_model_v2
tabard_massif_lord3,variantmeshes\base_body\base_armour\massif_basic_tabard_lord_10.rigid_model_v2
tabard_massif_lord4,variantmeshes\base_body\base_armour\massif_basic_tabard_lord_4.rigid_model_v2
tabard_massif_lord5,variantmeshes\base_body\base_armour\massif_basic_tabard_lord_15.rigid_model_v2
Axe,variantmeshes\none.rigid_model_v2
Axe1,variantmeshes\none.rigid_model_v2
Axe2,variantmeshes\none.rigid_model_v2
Sword1,variantmeshes\none.rigid_model_v2
Sword2,variantmeshes\none.rigid_model_v2
Sword3,variantmeshes\none.rigid_model_v2
Shield1,variantmeshes\none.rigid_model_v2
Shield2,variantmeshes\none.rigid_model_v2
Shield3,variantmeshes\none.rigid_model_v2
Shield4,variantmeshes\none.rigid_model_v2
Shield5,variantmeshes\none.rigid_model_v2
massif_wh_dlc07_anc_armour_armour_of_the_midsummer_sun,variantmeshes\armour_sets\massif_wh_dlc07_anc_armour_armour_of_the_midsummer_sun.rigid_model_v2
massif_wh_dlc07_anc_armour_cuirass_of_fortune,variantmeshes\armour_sets\massif_wh_main_anc_armour_armour_of_fortune.rigid_model_v2
massif_wh_dlc07_anc_armour_gilded_cuirass,variantmeshes\armour_sets\massif_wh_dlc07_anc_armour_gilded_cuirass.rigid_model_v2
massif_wh_dlc07_anc_armour_the_grail_shield,variantmeshes\armour_sets\massif_wh_dlc07_anc_armour_the_grail_shield.rigid_model_v2
massif_wh_main_anc_armour_armour_of_destiny,variantmeshes\armour_sets\massif_wh_main_anc_armour_armour_of_destiny.rigid_model_v2
