AssetId,AssetPath
NONE,variantmeshes\none.rigid_model_v2
massif_naked_body,variantmeshes\base_body\base_armour\massif_lord_naked.rigid_model_v2
face_massif_lord_1,variantmeshes\base_body\base_head\massif_lord1.rigid_model_v2
face_massif_lord_2,variantmeshes\base_body\base_head\massif_lord2.rigid_model_v2
face_massif_lord_3,variantmeshes\base_body\base_head\massif_lord3.rigid_model_v2
face_massif_lord_4,variantmeshes\base_body\base_head\massif_lord4.rigid_model_v2
face_massif_lord_8,variantmeshes\base_body\base_head\massif_lord5.rigid_model_v2
hair_massif_lord1,variantmeshes\helmets\massif_lord1.rigid_model_v2
hair_massif_lord2,variantmeshes\helmets\massif_lord2.rigid_model_v2
hair_massif_lord3,variantmeshes\helmets\massif_lord3.rigid_model_v2
hair_massif_lord4,variantmeshes\helmets\massif_lord4.rigid_model_v2
hair_massif_lord5,variantmeshes\helmets\massif_lord5.rigid_model_v2
tabard_massif_lord1,variantmeshes\base_body\base_armour\massif_basic_tabard_lord_1.rigid_model_v2
tabard_massif_lord2,variantmeshes\base_body\base_armour\massif_basic_tabard_lord_2.rigid_model_v2
tabard_massif_lord3,variantmeshes\base_body\base_armour\massif_basic_tabard_lord_10.rigid_model_v2
tabard_massif_lord4,variantmeshes\base_body\base_armour\massif_basic_tabard_lord_4.rigid_model_v2
tabard_massif_lord5,variantmeshes\base_body\base_armour\massif_basic_tabard_lord_15.rigid_model_v2
massif_of_the_midsummer_sun,variantmeshes\armour_sets\massif_wh_dlc07_anc_armour_armour_of_the_midsummer_sun.rigid_model_v2
massif_wh_dlc07_anc_armour_cuirass_of_fortune,variantmeshes\armour_sets\massif_wh_main_anc_armour_armour_of_fortune.rigid_model_v2
massif_wh_dlc07_anc_armour_gilded_cuirass,variantmeshes\armour_sets\massif_wh_dlc07_anc_armour_gilded_cuirass.rigid_model_v2
massif_wh_dlc07_anc_armour_the_grail_shield,variantmeshes\armour_sets\massif_wh_dlc07_anc_armour_the_grail_shield.rigid_model_v2
massif_wh_main_anc_armour_armour_of_destiny,variantmeshes\armour_sets\massif_wh_main_anc_armour_armour_of_destiny.rigid_model_v2
massif_wh_main_anc_armour_armour_of_silvered_steel,variantmeshes\armour_sets\massif_wh_main_anc_armour_armour_of_silvered_steel.rigid_model_v2
massif_wh_main_anc_armour_glittering_scales,variantmeshes\armour_sets\massif_wh_main_anc_armour_glittering_scales.rigid_model_v2
massif_wh_main_anc_armour_armour_of_fortune,variantmeshes\armour_sets\massif_wh_main_anc_armour_armour_of_fortune.rigid_model_v2
massif_wh_main_anc_armour_gamblers_armour,variantmeshes\armour_sets\massif_admiralnelson_armour_11.rigid_model_v2
massif_2handed_axe,variantmeshes\weapons\massif_2handed_axe.rigid_model_v2
massif_basic_sword,variantmeshes\weapons\massif_basic_1handed_sword.rigid_model_v2
massif_basic_shield,variantmeshes\shields\massif_basic_shield.rigid_model_v2
massif_dragonhelm_helmet,variantmeshes\helmets\massif_dragonhelm_helmet.rigid_model_v2
massif_bascinet_helmet,variantmeshes\helmets\massif_bascinet_helmet.rigid_model_v2
massif_bane_of_the_undead_axe,variantmeshes\weapons\massif_bane_of_the_undead_axe.rigid_model_v2
massif_ladys_champion_1handed_sword,variantmeshes\weapons\massif_ladys_champion_1handed_sword.rigid_model_v2
massif_the_unbreakable_wall_shield,variantmeshes\shields\massif_the_unbreakable_wall_shield.rigid_model_v2
massif_the_ladys_ward_shield,variantmeshes\shields\massif_the_ladys_ward_shield.rigid_model_v2
massif_feathered_helmet,variantmeshes\helmets\massif_feathered_helmet.rigid_model_v2
massif_cape_1,variantmeshes\capes\massif_cape_1.rigid_model_v2
massif_cape_2,variantmeshes\capes\massif_cape_2.rigid_model_v2
massif_cape_3,variantmeshes\capes\massif_cape_3.rigid_model_v2
massif_cape_4,variantmeshes\capes\massif_cape_4.rigid_model_v2
massif_admiralnelson_armour_1,variantmeshes\armour_sets\massif_admiralnelson_armour_1.rigid_model_v2
massif_admiralnelson_armour_2,variantmeshes\armour_sets\massif_admiralnelson_armour_2.rigid_model_v2
massif_admiralnelson_armour_3,variantmeshes\armour_sets\massif_admiralnelson_armour_3.rigid_model_v2
massif_admiralnelson_armour_4,variantmeshes\armour_sets\massif_admiralnelson_armour_4.rigid_model_v2
massif_admiralnelson_armour_5,variantmeshes\armour_sets\massif_admiralnelson_armour_5.rigid_model_v2
massif_admiralnelson_armour_6,variantmeshes\armour_sets\massif_admiralnelson_armour_6.rigid_model_v2
massif_admiralnelson_armour_7,variantmeshes\armour_sets\massif_admiralnelson_armour_7.rigid_model_v2
massif_admiralnelson_armour_8,variantmeshes\armour_sets\massif_admiralnelson_armour_8.rigid_model_v2
massif_admiralnelson_armour_9,variantmeshes\armour_sets\massif_admiralnelson_armour_9.rigid_model_v2
massif_admiralnelson_armour_10,variantmeshes\armour_sets\massif_admiralnelson_armour_10.rigid_model_v2
massif_bascinet_closed_crest_pegasus_helmet,variantmeshes\helmets\massif_bascinet_closed_crest_pegasus_helmet.rigid_model_v2
massif_basic_gilded_sallet_helmet,variantmeshes\helmets\massif_basic_gilded_sallet_helmet.rigid_model_v2
massif_chainmail_basic_helmet,variantmeshes\helmets\massif_chainmail_basic_helmet.rigid_model_v2
massif_dragonhelm_2_helmet,variantmeshes\helmets\massif_dragonhelm_2_helmet.rigid_model_v2
massif_dragonhelm_helmet,variantmeshes\helmets\massif_dragonhelm_helmet.rigid_model_v2
massif_feathered_closed_with_crest_pegasus_helmet,variantmeshes\helmets\massif_feathered_closed_with_crest_antler_pegasus_helmet.rigid_model_v2
massif_feathered_helmet,variantmeshes\helmets\massif_feathered_helmet.rigid_model_v2
massif_feathered_with_crest_antler_helmet,variantmeshes\helmets\massif_feathered_with_crest_antler_helmet.rigid_model_v2
