AgentSubType,ArmourId
admiralnelson_bret_lord_massif_agent_key,massif_naked_body
admiralnelson_bret_lord_massif_agent_key,massif_of_the_midsummer_sun
admiralnelson_bret_lord_massif_agent_key,massif_wh_dlc07_anc_armour_cuirass_of_fortune
admiralnelson_bret_lord_massif_agent_key,massif_wh_dlc07_anc_armour_gilded_cuirass
admiralnelson_bret_lord_massif_agent_key,massif_wh_dlc07_anc_armour_the_grail_shield
admiralnelson_bret_lord_massif_agent_key,massif_wh_main_anc_armour_armour_of_destiny
admiralnelson_bret_lord_massif_agent_key,massif_wh_main_anc_armour_armour_of_silvered_steel
admiralnelson_bret_lord_massif_agent_key,massif_wh_main_anc_armour_glittering_scales
admiralnelson_bret_lord_massif_agent_key,massif_wh_main_anc_armour_armour_of_fortune
admiralnelson_bret_lord_massif_agent_key,massif_wh_main_anc_armour_gamblers_armour
admiralnelson_bret_lord_massif_agent_key,massif_admiralnelson_armour_1
admiralnelson_bret_lord_massif_agent_key,massif_admiralnelson_armour_4
admiralnelson_bret_lord_massif_agent_key,massif_admiralnelson_armour_7
admiralnelson_bret_lord_massif_agent_key,massif_admiralnelson_armour_8
admiralnelson_bret_lord_massif_agent_key,massif_admiralnelson_armour_9
admiralnelson_bret_lord_massif_sword_shield_agent_key,massif_naked_body
admiralnelson_bret_lord_massif_sword_shield_agent_key,massif_of_the_midsummer_sun
admiralnelson_bret_lord_massif_sword_shield_agent_key,massif_wh_dlc07_anc_armour_cuirass_of_fortune
admiralnelson_bret_lord_massif_sword_shield_agent_key,massif_wh_dlc07_anc_armour_gilded_cuirass
admiralnelson_bret_lord_massif_sword_shield_agent_key,massif_wh_dlc07_anc_armour_the_grail_shield
admiralnelson_bret_lord_massif_sword_shield_agent_key,massif_wh_main_anc_armour_armour_of_destiny
admiralnelson_bret_lord_massif_sword_shield_agent_key,massif_wh_main_anc_armour_armour_of_silvered_steel
admiralnelson_bret_lord_massif_sword_shield_agent_key,massif_wh_main_anc_armour_glittering_scales
admiralnelson_bret_lord_massif_sword_shield_agent_key,massif_wh_main_anc_armour_armour_of_fortune
admiralnelson_bret_lord_massif_sword_shield_agent_key,massif_wh_main_anc_armour_gamblers_armour
admiralnelson_bret_lord_massif_sword_shield_agent_key,massif_admiralnelson_armour_1
admiralnelson_bret_lord_massif_sword_shield_agent_key,massif_admiralnelson_armour_4
admiralnelson_bret_lord_massif_sword_shield_agent_key,massif_admiralnelson_armour_7
admiralnelson_bret_lord_massif_sword_shield_agent_key,massif_admiralnelson_armour_8
admiralnelson_bret_lord_massif_sword_shield_agent_key,massif_admiralnelson_armour_9
