AgentSubType,ArmourId
admiralnelson_bret_lord_massif_agent_key,m_naked
admiralnelson_bret_lord_massif_agent_key,m_midsummer
admiralnelson_bret_lord_massif_agent_key,m_midsummer_c
admiralnelson_bret_lord_massif_agent_key,m_fortune
admiralnelson_bret_lord_massif_agent_key,m_fortune_c
admiralnelson_bret_lord_massif_agent_key,m_gilded
admiralnelson_bret_lord_massif_agent_key,m_gilded_c1
admiralnelson_bret_lord_massif_agent_key,m_gilded_c2
admiralnelson_bret_lord_massif_agent_key,m_grail
admiralnelson_bret_lord_massif_agent_key,m_destiny
admiralnelson_bret_lord_massif_agent_key,m_destiny_c1
admiralnelson_bret_lord_massif_agent_key,m_destiny_c2
admiralnelson_bret_lord_massif_agent_key,m_steel
admiralnelson_bret_lord_massif_agent_key,m_scale
admiralnelson_bret_lord_massif_agent_key,m_fortune
admiralnelson_bret_lord_massif_agent_key,m_armour_4
admiralnelson_bret_lord_massif_agent_key,m_armour_7
admiralnelson_bret_lord_massif_agent_key,m_armour_8
